food_code,food_name,food_name_eng,food_name_sci,food_group_code,food_group_name,food_subgroup_code,food_subgroup_name,food_subsubgroup_code,food_subsubgroup_name,source_file,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
20221,"Chinese cabbage (nappa cabbage or bok choy), cooked","Chinese cabbage (nappa cabbage or bok choy), cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,95.4,1.53,1.53,0.75,0.17,0.75,,,,,,,,1.35,,0.82,0.0,0.0,0.029,0.016,0.069,0.0,0.0,0.0,0.0,0.00098,0.00098,0.024,0.0025,,,,,0.0,0.0,0.0,0.054,62.5,,0.024,0.67,,10.5,0.15,34.0,298.0,,21.5,0.18,0.0,2550.0,0.0,0.09,34.0,,20.9,0.038,0.054,0.46,0.08,0.17,47.0,0.0
20241,"Cardoon, cooked","Cardoon, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,93.5,0.76,0.76,3.63,0.11,,,,,,,,,1.7,,0.97,0.0,0.0,0.012,0.02,0.044,,,,,,,0.01,0.002,,,,,,,0.0,0.44,72.0,,,0.73,,43.0,0.13,23.0,392.0,,176.0,0.18,0.0,,0.0,,,,1.7,0.018,0.031,0.29,0.097,0.042,22.0,0.0
20242,"Tomato, pulp and peel, boiled/cooked in water","Tomato, pulp and peel, boiled/cooked in water",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,94.3,0.95,0.95,2.8,0.11,2.49,1.31,0.0,1.18,0.0,0.0,0.0,0.0,0.7,,0.6,0.0,0.0,0.015,0.016,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.004,,,,,0.0,0.0,0.0,0.028,11.0,,0.075,0.68,1.5,9.0,0.11,28.0,218.0,0.18,11.0,0.14,0.0,293.0,0.0,0.56,2.8,,22.8,0.036,0.022,0.53,0.13,0.079,13.0,0.0
20243,"Snow pea, cooked","Snow pea, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,86.6,3.5,3.5,5.92,0.38,4.82,,,,,,,,3.1,,0.5,0.0,0.0,0.073,0.039,0.17,0.0,0.0,0.0,0.0,0.0,0.003,0.063,0.006,,,,,0.0,0.0,0.0,0.013,59.0,,0.09,2.4,,28.0,0.28,58.0,217.0,,5.0,0.49,0.0,760.0,0.0,0.47,30.2,,22.0,0.064,0.12,0.56,0.86,0.17,35.0,0.0
20255,"Shallot, cooked","Shallot, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,80.0,2.13,2.13,13.5,0.25,6.3,1.77,,0.59,0.1,0.89,3.05,,3.4,,0.87,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.031,28.0,29.2,0.11,0.34,10.0,14.0,0.15,76.0,400.0,25.0,12.5,0.32,,5.0,,0.12,0.4,,2.25,0.53,,0.17,0.22,0.19,12.9,
20257,"French bean, puree","French bean, puree",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,,1.7,1.7,4.2,2.9,1.5,,,,,,,,3.3,,0.36,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,
20258,"Vegetables (3-4 types), mashed","Vegetables (3-4 types), mashed",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,257.0,61.8,257.0,61.8,86.0,1.94,1.94,4.25,3.4,2.4,0.6,0.1,0.5,0.1,0.5,0.8,1.6,3.3,0.25,1.13,0.0,0.099,2.17,0.77,0.18,0.1,0.06,0.05,0.09,0.11,0.36,1.02,0.32,0.66,0.12,0.06,0.005,0.005,0.005,9.0,0.63,47.0,408.0,0.12,0.67,10.0,18.0,0.18,42.0,260.0,10.0,252.0,0.33,,1040.0,0.125,0.43,25.9,,0.25,0.025,0.023,1.1,0.16,0.048,19.0,0.019
20259,"Broccoli, puree","Broccoli, puree",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,91.7,2.5,2.5,2.75,0.38,1.65,0.69,,0.85,,0.15,0.15,,2.39,,0.46,0.0,0.0,,,,,,,,,,,,,,,,,,,0.021,87.0,,,0.9,,,,,,,7.93,,,,,,,,90.0,,,,,,,
20260,"Tomato coulis, canned (tomato puree semi-reduced 11%)","Tomato coulis, canned (tomato puree semi-reduced 11%)",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,88.2,2.05,2.05,8.53,0.2,5.5,2.6,,2.6,0.05,0.075,0.125,,2.6,,1.46,0.0,0.0,0.08,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.055,0.005,0.005,0.005,0.005,0.0002,,0.005,,0.88,,,,,,,,,,,350.0,,,,,,,,,,,,,,,
20261,"Carrots, puree","Carrots, puree",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,132.0,31.5,132.0,31.5,90.1,0.88,0.88,5.06,0.15,4.8,0.51,0.05,0.26,0.05,0.05,4.03,0.175,3.1,0.0,0.66,0.0,0.053,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1.0,0.13,30.0,62.9,0.06,0.32,10.0,8.4,0.1,25.0,230.0,10.0,52.0,0.23,10.5,6060.0,,1.16,1.66,,0.25,0.024,0.005,0.13,0.31,0.056,14.3,
