food_code,food_name,primarysource,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,source_file
ASC189,Stuffed tomatoes (Bharwa tamatar),asc_manual,93.35,6.19,3.28,6.06,2.68,2.2,1394.51,1334.5,2965.78,0.0,59.16,54.52,18.83,165.85,202.88,0.62,0.08,2.4,0.01,0.17,0.02,0.51,0.0,2.35,8.16,0.0,22.42,0.0,27.61,0.06,0.03,0.57,0.29,0.09,3.33,27.61,20.83,4231.0,tomato,ASC189.json
ASC190,Pea potato curry (Aloo matar),asc_manual,100.92,9.74,3.48,5.13,1.86,3.61,631.82,1031.29,3196.23,0.0,21.1,40.52,27.53,154.83,274.26,1.02,0.13,0.8,0.0,0.35,0.03,0.56,0.0,2.55,7.12,0.0,24.68,0.0,31.77,0.13,0.02,0.85,0.42,0.13,2.44,31.77,25.24,1722.54,bowl,ASC190.json
ASC191,Pea paneer curry (Matar paneer),asc_manual,134.83,9.29,6.61,7.75,3.89,3.3,2219.72,1804.05,3252.12,0.0,105.2,92.18,27.99,157.34,188.18,1.08,0.14,4.83,0.02,0.35,0.03,1.01,0.0,2.54,7.11,0.0,24.29,0.0,45.8,0.12,0.04,0.69,0.44,0.12,5.99,45.8,21.07,1720.01,bowl,ASC191.json
ASC192,Pea mushroom curry (Matar mushroom),asc_manual,93.3,7.41,3.87,5.16,1.82,3.86,635.3,1030.03,3220.39,0.0,22.7,48.39,26.49,155.48,234.06,0.97,0.13,0.66,0.0,0.35,0.03,0.54,0.0,2.54,10.79,0.0,26.55,0.0,30.47,0.12,0.03,0.79,0.43,0.14,3.86,30.47,21.07,1685.04,bowl,ASC192.json
ASC193,Pea curry (Matar ki sabzi),asc_manual,102.99,9.2,4.51,5.11,1.98,4.44,627.39,1033.98,3183.12,0.0,24.48,42.77,30.42,154.75,221.62,1.2,0.16,0.96,0.0,0.41,0.03,0.71,0.0,2.57,9.41,0.0,32.27,0.0,38.85,0.16,0.03,0.9,0.47,0.15,2.92,38.85,27.99,1916.89,bowl,ASC193.json
ASC194,Pea vadi curry,asc_manual,101.95,8.9,4.64,5.08,1.92,4.28,622.96,1025.84,3141.94,0.0,23.62,44.59,30.16,149.51,216.1,1.2,0.16,0.92,0.0,0.41,0.03,0.71,0.0,2.52,9.08,0.0,31.14,0.0,38.02,0.16,0.03,0.87,0.46,0.15,2.82,38.02,27.02,1850.25,bowl,ASC194.json
ASC195,Paneer curry,asc_manual,176.52,8.4,7.8,12.38,6.29,1.4,4126.76,2989.88,4484.07,0.0,189.06,139.48,21.83,216.09,142.72,0.81,0.09,8.68,0.04,0.27,0.04,1.18,0.0,3.38,3.37,0.0,11.45,0.0,47.23,0.03,0.05,0.33,0.33,0.08,8.81,47.23,9.9,1745.97,bowl,ASC195.json
ASC196,Lotus stem curry (Kamal kakdi curry),asc_manual,110.34,9.24,1.53,7.25,2.09,3.14,938.16,1427.13,4474.81,0.0,26.59,44.69,21.82,217.05,345.65,1.71,0.14,1.81,0.01,0.74,0.04,0.29,0.0,3.64,3.43,0.0,27.92,0.0,22.46,0.05,0.03,0.44,0.22,0.14,2.07,22.46,19.77,1731.88,bowl,ASC196.json
ASC197,Gravy for kofta,asc_manual,125.59,6.31,1.75,10.35,3.73,1.96,1434.63,2113.44,6283.28,1.18,39.65,42.51,19.19,312.86,199.42,0.75,0.08,0.37,0.0,0.33,0.05,0.31,3.02,4.9,4.79,0.0,16.19,0.0,19.82,0.04,0.05,0.41,0.26,0.1,1.73,19.82,12.25,2403.21,bowl,ASC197.json
ASC198,Pea kofta curry (Matar kofta curry),asc_manual,595.66,4.17,2.01,63.39,0.88,1.7,7648.1,13003.86,40099.15,0.21,13.84,21.5,12.23,83.07,88.85,0.56,0.07,0.43,0.0,0.17,0.01,0.29,0.54,31.22,3.34,0.0,15.41,0.0,16.54,0.07,0.02,0.35,0.19,0.06,1.19,16.54,9.57,682.24,bowl,ASC198.json
ASC199,Spinach kofta curry (Palak kofta curry),asc_manual,571.78,3.56,1.09,61.49,0.82,0.92,7427.78,12579.95,38832.86,0.2,29.31,17.9,20.78,104.51,158.65,0.83,0.06,0.75,0.01,0.29,0.01,0.17,0.52,30.4,0.88,0.0,67.09,0.0,31.12,0.05,0.03,0.21,0.09,0.05,1.07,31.12,7.94,2201.1,bowl,ASC199.json
ASC200,Paneer kofta curry,asc_manual,670.91,3.27,2.39,72.06,1.98,0.4,9450.37,14918.83,44643.9,0.24,59.49,44.26,7.07,121.72,48.29,0.34,0.03,2.55,0.01,0.08,0.01,0.36,0.6,34.68,0.97,0.0,7.57,0.0,13.94,0.01,0.02,0.1,0.1,0.02,2.6,13.94,2.43,504.73,bowl,ASC200.json
ASC201,Lotus stem kofta curry (Kamal kakdi kofta curry),asc_manual,633.56,5.01,0.96,67.76,0.88,1.01,8177.68,13870.18,42798.11,0.23,19.31,20.67,7.8,108.61,109.38,0.65,0.05,0.87,0.0,0.23,0.01,0.13,0.57,33.33,0.95,0.0,11.86,0.0,7.9,0.03,0.02,0.2,0.07,0.04,0.62,7.9,5.28,483.08,bowl,ASC201.json
ASC202,Raw banana kofta curry (Kela kofta curry),asc_manual,627.27,3.4,0.62,67.98,2.3,0.59,8205.31,13944.75,43014.2,0.23,9.23,12.07,6.84,88.4,71.35,0.28,0.03,0.1,0.0,0.11,0.01,0.09,0.58,33.46,0.92,0.0,7.41,0.0,6.42,0.02,0.02,0.17,0.09,0.05,0.61,6.42,3.25,472.07,bowl,ASC202.json
ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),asc_manual,641.1,2.62,1.04,69.62,0.83,1.0,8405.75,14273.88,44035.94,0.23,12.26,18.15,7.82,93.65,82.16,0.4,0.03,0.2,0.0,0.13,0.01,0.13,0.59,34.23,1.08,0.0,9.19,0.0,12.59,0.02,0.02,0.16,0.14,0.04,0.77,12.59,7.59,486.17,bowl,ASC203.json
ASC204,Cabbage kofta curry (Pattagobhi kofta curry),asc_manual,639.81,2.87,0.98,69.4,0.89,0.9,8374.77,14234.4,43899.34,0.23,15.46,16.56,7.32,92.85,72.21,0.34,0.03,0.28,0.0,0.12,0.01,0.11,0.59,34.14,0.97,0.0,19.54,0.0,12.68,0.02,0.02,0.16,0.1,0.04,0.65,12.68,6.11,508.21,bowl,ASC204.json
ASC205,Ghiya/Lauki Kofta Curry,asc_manual,638.71,2.71,0.89,69.4,0.82,0.83,8374.23,14231.61,43896.56,0.23,11.64,15.07,6.58,91.43,60.75,0.33,0.03,0.36,0.0,0.12,0.01,0.11,0.59,34.14,1.02,0.0,7.88,0.0,12.22,0.02,0.01,0.14,0.14,0.03,0.77,12.22,3.07,489.5,bowl,ASC205.json
ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),asc_manual,606.03,2.94,1.43,65.41,1.16,0.75,8131.1,13438.53,41051.05,0.22,37.71,25.35,16.59,99.37,125.1,0.68,0.05,1.26,0.01,0.23,0.01,0.23,0.55,32.05,0.91,0.0,49.58,0.0,25.96,0.03,0.03,0.16,0.09,0.04,1.55,25.96,6.21,1704.15,bowl,ASC206.json
ASC207,Vegetarian egg kofta curry,asc_manual,627.41,4.26,1.33,67.24,1.19,0.64,8348.13,13824.47,42217.56,0.22,28.39,26.3,8.05,95.89,104.04,0.39,0.04,1.08,0.0,0.1,0.02,0.2,0.57,32.82,0.94,0.0,7.4,0.0,9.15,0.02,0.02,0.23,0.11,0.03,1.18,9.15,4.8,487.14,bowl,ASC207.json
ASC208,Baked vegetables,asc_manual,88.99,8.44,3.67,4.44,2.56,2.34,2685.07,1146.21,231.8,8.27,80.2,90.12,19.93,124.7,221.88,0.62,0.07,0.91,0.0,0.16,0.01,0.52,32.53,0.22,3.5,0.0,13.66,0.0,25.52,0.08,0.07,0.48,0.4,0.12,2.58,25.52,15.55,1693.73,bowl,ASC208.json
ASC209,Cauliflower musallam (Phoolgobhi musallam),asc_manual,58.83,4.48,1.89,3.55,1.71,3.06,469.28,672.07,2159.21,0.0,24.61,39.61,20.87,123.36,266.34,0.83,0.06,0.45,0.01,0.26,0.02,0.29,0.0,1.61,3.03,0.0,15.17,0.0,35.56,0.04,0.05,0.38,0.46,0.12,2.12,35.56,33.08,1145.39,bowl,ASC209.json
ASC210,Baked vegetables with spinach ,asc_manual,77.79,6.93,3.22,4.03,2.09,2.33,2163.45,986.69,546.36,6.55,78.63,74.08,35.62,122.85,314.32,1.16,0.1,1.16,0.01,0.39,0.01,0.5,26.67,0.7,2.61,0.0,86.85,0.0,52.72,0.09,0.08,0.43,0.35,0.12,2.93,52.72,18.64,3474.59,bowl,ASC210.json
ASC211,Baked potato with skin ,asc_manual,135.77,11.11,3.43,8.5,1.66,1.2,5243.81,2214.89,380.72,21.72,90.06,121.89,21.18,354.5,392.71,0.5,0.07,1.18,0.0,0.12,0.02,0.51,86.95,0.26,0.2,0.0,2.52,0.0,12.75,0.05,0.06,0.69,0.37,0.08,1.8,12.75,15.15,225.93,bowl,ASC211.json
ASC212,Shepherd's pie (vegetarian),asc_manual,135.63,12.03,5.04,7.3,2.78,2.23,4094.25,1874.45,763.45,10.62,85.59,86.23,25.04,118.2,332.08,0.76,0.11,3.94,0.02,0.2,0.0,0.77,47.78,0.54,2.58,0.0,10.15,0.0,33.41,0.09,0.04,0.78,0.42,0.1,4.65,33.41,19.09,426.8,bowl,ASC212.json
ASC213,Baked brinjal in tomato sauce,asc_manual,38.63,4.13,1.58,1.62,2.2,2.34,423.59,344.28,726.7,0.0,26.24,31.14,15.57,79.66,187.99,0.32,0.07,0.7,0.01,0.13,0.0,0.24,0.0,0.61,7.24,0.0,18.44,0.0,24.14,0.05,0.05,0.49,0.24,0.08,1.98,24.14,15.87,3493.72,bowl,ASC213.json
ASC214,Dum aloo,asc_manual,682.33,3.33,0.7,74.01,0.71,0.68,9067.48,15158.94,46646.23,0.49,16.49,19.14,8.63,183.85,119.55,0.36,0.04,0.34,0.0,0.15,0.04,0.12,1.25,36.27,0.28,0.0,6.8,0.0,5.13,0.02,0.02,0.21,0.1,0.03,0.47,5.13,4.38,103.9,bowl,ASC214.json
ASC215,Spinach paneer (Palak paneer),asc_manual,77.68,4.43,4.03,4.76,2.55,1.91,1587.57,1101.39,1711.86,0.0,113.25,69.62,54.13,166.87,386.63,1.85,0.13,4.23,0.03,0.71,0.01,0.68,0.0,1.83,2.31,0.0,170.45,0.0,90.37,0.1,0.07,0.34,0.25,0.11,5.39,90.37,20.38,5906.13,bowl,ASC215.json
ASC216,Methi chaman,asc_manual,475.62,2.78,1.54,50.91,1.79,0.53,6884.08,10537.24,31291.37,0.0,60.57,41.04,12.51,54.94,115.42,0.63,0.04,0.54,0.01,0.14,0.01,0.19,0.0,24.42,0.17,0.0,41.01,0.0,14.16,0.03,0.06,0.14,0.18,0.05,1.21,14.16,6.32,1205.41,bowl,ASC216.json
ASC217,Sarson ka saag,asc_manual,87.84,5.33,3.0,5.86,0.75,3.69,3303.1,1432.99,570.51,13.24,134.41,61.91,55.11,165.45,399.56,2.43,0.2,5.07,0.03,0.67,0.02,0.65,50.77,0.86,4.37,0.0,176.6,0.0,90.78,0.09,0.16,0.57,0.26,0.16,2.01,90.78,42.12,5512.58,bowl,ASC217.json
ASC218,Jackfruit sabzi (Kathal ki sabzi),asc_manual,625.4,3.4,0.69,67.6,2.59,1.02,8126.67,13872.31,42800.21,0.0,9.85,8.83,8.88,58.95,80.75,0.27,0.05,0.03,0.0,0.12,0.01,0.08,0.0,33.29,2.18,0.0,13.52,0.0,8.9,0.02,0.01,0.15,0.07,0.06,0.95,8.9,3.91,479.51,bowl,ASC218.json
ASC219,Avial,asc_manual,124.56,8.47,2.46,8.94,3.83,5.44,6227.57,550.74,219.96,0.0,31.9,60.03,36.4,81.5,378.3,1.01,0.21,3.9,0.01,0.4,0.05,0.4,0.0,1.04,2.23,0.0,89.5,0.0,32.27,0.05,0.04,0.55,0.29,0.17,2.7,32.27,28.25,1270.84,bowl,ASC219.json
ASC220,Al yakhani,asc_manual,147.54,4.65,2.86,13.14,3.56,1.27,2256.26,2791.78,7477.29,4.74,103.88,84.26,18.73,206.24,198.35,0.46,0.04,1.71,0.0,0.46,0.02,0.42,12.07,5.77,0.69,0.0,3.07,0.0,26.19,0.05,0.12,0.2,0.46,0.06,2.25,26.19,2.33,57.56,bowl,ASC220.json
ASC221,Shahi paneer,asc_manual,156.5,6.64,5.06,12.34,5.01,1.4,7253.38,3336.88,668.64,23.7,125.38,97.37,18.29,215.35,170.6,0.62,0.07,4.74,0.02,0.24,0.02,0.76,92.19,0.66,4.9,0.0,13.53,0.0,30.3,0.04,0.07,0.45,0.28,0.09,5.26,30.3,11.89,2763.73,bowl,ASC221.json
ASC222,Paneer in butter sauce,asc_manual,145.61,9.7,6.99,8.81,7.49,1.5,5258.02,2378.26,392.42,9.9,170.59,126.58,23.01,151.45,158.34,0.85,0.09,7.45,0.04,0.41,0.02,1.06,45.94,0.2,4.28,0.0,12.88,0.0,41.32,0.04,0.06,0.36,0.31,0.08,7.71,41.32,11.49,2146.72,bowl,ASC222.json
ASC223,Methi malai paneer,asc_manual,194.98,8.15,7.34,14.76,6.0,1.47,5462.57,3671.44,4730.85,7.11,183.96,135.4,22.08,221.16,125.72,0.77,0.09,6.59,0.03,0.45,0.04,1.06,37.62,3.61,1.77,0.0,17.2,0.0,38.2,0.06,0.09,0.28,0.39,0.07,7.23,38.2,7.03,602.57,bowl,ASC223.json
ASC224,Chilli paneer,asc_manual,777.51,3.31,2.1,84.01,1.5,0.5,10750.48,17529.38,52208.83,0.34,42.9,38.62,8.81,89.04,54.25,0.36,0.05,2.31,0.01,0.06,0.01,0.32,0.88,40.54,0.42,0.0,8.62,0.0,9.67,0.02,0.02,0.18,0.08,0.02,1.87,9.67,1.64,1217.75,bowl,ASC224.json
ASC225,Paneer makhana korma,asc_manual,775.82,4.63,3.24,82.76,1.84,0.21,11231.25,17613.41,50403.82,1.58,72.89,81.4,20.51,77.01,95.39,0.55,0.09,3.76,0.01,0.16,0.03,0.5,6.77,38.98,0.21,0.0,6.3,0.0,15.53,0.05,0.02,0.13,0.13,0.04,2.53,15.53,0.11,89.58,bowl,ASC225.json
ASC226,Kadhai Paneer,asc_manual,107.99,7.34,4.33,6.81,5.54,2.07,1950.52,1574.98,2863.85,0.0,91.53,80.68,22.4,144.33,290.81,0.65,0.12,3.87,0.02,0.23,0.01,0.66,0.0,2.84,4.08,0.0,12.01,0.0,36.81,0.16,0.05,0.8,0.25,0.12,5.52,36.81,26.98,2379.68,bowl,ASC226.json
ASC227,Roghan josh,asc_manual,139.59,4.93,9.56,9.02,2.66,2.08,622.68,707.05,1802.96,1.4,112.33,106.87,21.0,204.31,294.04,1.77,0.08,0.78,0.01,0.71,0.11,0.3,3.56,1.35,2.76,0.0,13.33,0.0,15.4,0.11,0.12,3.22,0.19,0.07,1.18,15.4,5.26,2383.17,bowl,ASC227.json
ASC228,Spinach mutton (Palak mutton),asc_manual,80.32,3.45,5.74,4.71,1.42,2.23,396.51,365.38,1027.28,0.68,96.88,68.66,54.93,121.1,464.28,2.38,0.12,1.45,0.02,0.92,0.05,0.38,1.73,1.32,1.47,0.0,173.65,0.0,80.52,0.14,0.11,1.73,0.2,0.11,2.7,80.52,18.13,6071.28,bowl,ASC228.json
ASC229,Pea keema curry (Matar keema ki sabzi),asc_manual,133.0,6.24,8.43,8.14,1.82,2.96,2401.2,2411.7,2748.27,22.87,35.6,89.75,27.29,148.38,252.63,1.35,0.12,1.24,0.0,0.54,0.03,1.48,2.68,2.1,5.88,0.0,19.99,0.0,24.76,0.13,0.08,1.95,0.57,0.16,2.48,24.76,16.18,1356.01,bowl,ASC229.json
ASC230,Keema kofta curry,asc_manual,154.45,5.64,9.77,10.39,2.14,1.51,3273.04,3229.65,2994.87,57.79,49.89,118.72,22.07,311.51,251.56,1.25,0.08,4.44,0.0,0.41,0.04,1.65,19.41,2.27,2.28,0.06,8.13,1.1,15.98,0.08,0.12,2.11,0.6,0.15,3.04,15.98,5.87,1054.57,kofta,ASC230.json
ASC231,Kashmiri mutton koftas (Gushtaba),asc_manual,97.42,3.04,6.33,6.77,2.13,0.62,2896.49,2194.37,1102.68,25.31,52.53,86.43,15.88,130.11,171.55,0.85,0.05,0.95,0.0,0.4,0.02,1.14,18.05,0.79,0.32,0.0,1.14,0.0,7.39,0.05,0.1,1.41,0.36,0.09,1.32,7.39,1.06,49.88,gushtaba,ASC231.json
ASC232,Mutton yakhni,asc_manual,104.13,0.84,8.27,7.7,0.13,0.67,239.48,472.15,1137.71,0.0,88.61,72.01,8.54,101.02,154.3,1.66,0.02,0.12,0.0,0.71,0.02,0.1,0.0,0.86,0.44,0.0,1.41,0.0,2.81,0.09,0.07,3.07,0.01,0.01,0.04,2.81,0.04,19.19,bowl,ASC232.json
ASC233,Chicken yakhni,asc_manual,99.0,0.78,10.66,6.1,0.12,0.62,608.83,906.32,1222.13,29.29,28.24,91.52,17.47,97.38,175.38,0.93,0.15,8.94,0.0,0.67,0.02,0.47,3.31,0.93,0.4,0.66,1.3,13.23,5.25,0.06,0.03,3.96,0.56,0.26,1.99,5.25,0.04,14.1,bowl,ASC233.json
ASC234,Mutton do piaza,asc_manual,183.3,4.14,9.39,14.41,2.9,1.93,5648.94,2965.96,673.42,77.86,118.61,120.41,18.38,118.62,240.92,1.63,0.07,6.76,0.0,0.52,0.02,0.5,110.97,0.75,0.48,0.13,4.79,2.22,20.46,0.09,0.13,2.28,0.41,0.08,3.93,20.46,2.25,357.27,bowl,ASC234.json
ASC236,Mutton chops,asc_manual,663.64,1.48,4.03,71.31,0.42,0.17,8390.57,14216.69,43506.75,13.32,36.18,39.65,2.32,51.03,70.56,0.64,0.02,1.67,0.0,0.04,0.0,0.09,7.68,33.85,0.04,0.03,4.62,0.52,4.77,0.04,0.04,1.23,0.08,0.02,0.77,4.77,1.07,23.11,chop,ASC236.json
ASC237,Shammi kebab,asc_manual,685.69,3.54,4.52,72.61,0.31,1.05,9453.59,15312.34,44621.43,24.6,13.11,53.08,11.03,54.27,110.92,0.75,0.07,4.18,0.0,0.21,0.01,0.75,7.96,34.6,0.21,0.03,5.33,0.53,12.0,0.04,0.04,0.85,0.27,0.05,1.09,12.0,0.96,73.57,kabab,ASC237.json
ASC238,Scotch egg,asc_manual,676.89,1.91,4.05,72.62,0.3,0.36,9440.14,15346.36,44593.11,48.59,15.03,48.31,6.8,90.67,72.34,0.6,0.04,4.86,0.0,0.13,0.01,0.57,22.43,34.71,0.13,0.09,6.03,1.6,8.94,0.03,0.05,0.62,0.29,0.05,2.39,8.94,0.76,82.2,piece,ASC238.json
ASC239,Shepherd's pie (with minced meat),asc_manual,142.78,8.06,7.45,8.88,1.7,1.05,4273.49,2828.23,1052.16,33.31,21.3,92.81,20.37,197.25,357.88,0.84,0.08,1.08,0.0,0.1,0.01,1.35,36.13,0.7,0.19,0.0,1.89,0.0,11.21,0.09,0.08,2.1,0.52,0.12,1.7,11.21,10.31,139.26,dish,ASC239.json
ASC240,Chicken curry,asc_manual,129.22,3.38,11.79,7.57,1.79,1.41,821.08,1119.97,2005.92,31.25,27.29,107.81,21.89,108.0,253.49,0.87,0.19,9.56,0.0,0.42,0.05,0.56,4.07,1.56,2.9,0.7,8.57,14.02,15.61,0.07,0.05,4.28,0.71,0.32,2.95,15.61,6.77,1284.19,bowl,ASC240.json
ASC241,Tandoori chicken,asc_manual,145.2,2.34,16.26,7.93,1.58,0.5,990.24,1050.46,1025.32,44.25,44.33,154.07,22.02,158.0,287.21,0.9,0.21,13.24,0.0,0.17,0.02,0.71,8.72,0.77,0.2,0.96,1.57,19.29,12.68,0.09,0.09,5.7,0.91,0.41,3.42,12.68,2.74,69.37,chicken,ASC241.json
ASC242,Butter chicken,asc_manual,137.0,3.74,10.92,8.7,2.37,1.32,3047.65,1620.51,424.98,39.26,25.28,102.52,23.27,26.21,319.53,0.92,0.2,8.61,0.0,0.27,0.01,0.51,48.98,0.82,3.58,0.63,9.53,12.63,14.84,0.14,0.05,4.13,0.62,0.3,2.99,14.84,11.86,1884.16,large piece,ASC242.json
ASC243,Chicken kebab,asc_manual,729.41,1.11,3.71,78.89,0.24,0.21,9436.36,16046.74,49118.18,9.94,3.46,31.71,5.24,69.76,62.67,0.28,0.06,3.02,0.0,0.08,0.01,0.15,1.12,38.19,0.16,0.22,5.52,4.49,3.09,0.02,0.01,1.33,0.21,0.09,0.78,3.09,0.33,11.32,kabab,ASC243.json
ASC244,Chilli chicken,asc_manual,198.83,2.86,9.57,16.56,0.93,0.99,1902.34,3048.34,8403.86,23.87,12.97,84.35,16.48,223.75,207.3,0.66,0.14,8.2,0.0,0.17,0.01,0.39,2.7,6.5,1.53,0.58,6.13,10.78,13.33,0.05,0.04,3.34,0.61,0.25,2.98,13.33,14.27,312.17,bowl,ASC244.json
ASC245,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),asc_manual,125.03,2.51,11.48,7.61,1.16,1.13,881.22,1099.94,1993.2,31.09,16.09,101.91,17.77,107.56,242.34,0.64,0.17,9.42,0.0,0.09,0.01,0.49,3.52,1.59,3.79,0.7,11.02,14.04,14.07,0.07,0.04,4.27,0.68,0.31,2.69,14.07,8.71,2774.02,piece,ASC245.json
ASC246,Fish curry (Machli curry),asc_manual,111.13,3.77,8.76,6.69,2.02,1.89,1587.29,2191.97,3792.81,19.22,52.06,101.87,24.11,184.71,241.98,1.09,0.08,20.64,0.01,0.7,0.08,0.53,2.63,3.64,3.0,0.33,8.35,0.41,15.93,0.03,0.04,1.16,0.61,0.15,0.9,15.93,8.85,1231.96,bowl,ASC246.json
ASC247,Fried fish (Indian style) (Tali hui machli),asc_manual,658.54,5.4,4.35,68.88,0.4,0.61,8336.42,14107.74,43531.64,6.57,11.11,46.9,10.23,156.94,75.49,0.56,0.05,9.26,0.0,0.1,0.0,0.2,2.31,33.9,0.26,0.03,4.94,0.74,9.96,0.03,0.03,0.51,0.28,0.04,1.22,9.96,2.04,41.26,piece,ASC247.json
ASC248,Fried fish and Chips (English Style) (Tali hui machli aur chips),asc_manual,651.75,2.77,3.36,69.69,0.17,0.29,8701.07,14320.4,43724.44,12.51,6.56,40.2,8.05,72.73,90.72,0.26,0.03,5.08,0.0,0.04,0.01,0.15,7.89,34.08,0.47,0.1,5.39,0.4,4.54,0.02,0.01,0.33,0.23,0.04,0.47,4.54,3.18,202.62,fillet,ASC248.json
ASC249,Tomato fish,asc_manual,489.79,3.18,2.39,51.91,1.35,0.72,6631.0,10659.68,32431.61,5.17,6.46,31.48,9.64,91.47,115.54,0.24,0.04,3.11,0.0,0.07,0.0,0.13,7.09,25.29,2.56,0.06,9.56,0.1,7.94,0.02,0.01,0.35,0.21,0.05,0.55,7.94,7.76,1270.9,bowl,ASC249.json
ASC250,Baked fish with cheese sauce,asc_manual,113.96,4.06,8.64,7.02,3.22,0.08,4187.38,1786.8,454.57,21.37,115.64,170.77,16.84,209.48,158.51,0.26,0.04,9.25,0.01,0.03,0.01,0.54,43.9,0.55,0.11,0.17,0.49,0.28,8.3,0.04,0.09,0.46,0.56,0.07,1.53,8.3,2.82,136.3,bowl,ASC250.json
ASC251,Fish tikka,asc_manual,117.33,3.91,16.0,4.15,1.18,1.18,807.2,800.24,2221.32,32.73,31.98,178.14,35.5,503.44,296.43,1.41,0.13,45.21,0.01,0.23,0.02,0.63,11.51,1.91,0.45,0.15,2.74,3.7,13.02,0.07,0.09,2.06,1.08,0.14,4.63,13.02,2.54,160.26,piece,ASC251.json
ASC252,Tandoori fish,asc_manual,95.98,2.37,11.19,4.64,1.6,0.58,1838.98,952.48,1468.22,23.41,37.27,138.54,24.8,123.94,226.36,0.46,0.05,16.08,0.01,0.14,0.01,0.43,19.21,1.43,1.41,0.33,3.59,0.53,11.79,0.05,0.05,0.88,0.71,0.11,0.56,11.79,8.42,658.16,piece,ASC252.json
ASC253,"Paneer, apple and pineapple salad",asc_manual,95.08,8.35,3.88,5.07,6.36,1.65,2554.73,1275.31,895.37,6.52,103.05,86.94,22.73,176.63,185.05,0.84,0.09,4.11,0.02,0.32,0.34,0.61,31.24,0.22,1.68,0.0,21.05,0.0,26.04,0.04,0.09,0.2,0.26,0.09,4.2,26.04,9.81,2073.1,bowl,ASC253.json
ASC254,Russian salad,asc_manual,114.83,6.5,4.26,7.84,1.66,2.57,1490.31,4045.25,1726.66,64.49,34.92,64.31,24.52,101.09,254.54,1.23,0.1,7.64,0.01,0.32,0.01,0.57,50.62,1.94,2.36,0.13,24.01,2.31,32.96,0.08,0.08,0.5,0.5,0.15,4.93,32.96,15.66,2270.96,bowl,ASC254.json
ASC255,Pasta salad,asc_manual,190.36,12.7,4.15,13.92,2.6,0.96,2680.76,7319.93,3098.98,12.7,66.74,74.81,20.16,152.31,162.16,0.81,0.08,5.45,0.02,0.19,0.01,0.57,33.49,3.32,1.91,0.0,16.94,0.0,26.21,0.05,0.06,0.71,0.32,0.09,3.69,26.21,17.98,2034.82,bowl,ASC255.json
ASC256,Deviled egg,asc_manual,98.56,2.23,4.97,7.72,0.82,1.15,1331.7,3958.76,1711.92,118.13,36.84,76.96,21.3,117.29,185.41,1.51,0.08,14.37,0.01,0.17,0.02,0.59,66.85,1.93,3.82,0.26,35.48,4.57,30.29,0.05,0.1,0.25,0.56,0.11,6.77,30.29,11.53,4136.37,egg,ASC256.json
ASC257,Hawain salad,asc_manual,175.23,14.35,4.27,11.37,5.24,3.93,6350.95,2596.9,469.2,4.24,61.03,72.06,27.74,64.92,204.64,1.12,0.16,3.83,0.01,0.52,0.01,0.65,22.41,0.72,1.97,0.0,25.04,0.0,31.73,0.08,0.06,0.55,0.31,0.12,3.21,31.73,13.28,2220.59,bowl,ASC257.json
ASC258,Mixed pulse and vegetable salad,asc_manual,83.12,13.96,4.74,0.84,1.36,2.96,137.12,120.56,442.36,0.0,51.63,93.24,49.99,127.78,442.65,2.13,0.23,4.05,0.01,0.52,0.06,0.78,0.0,0.31,2.77,0.0,32.48,0.0,62.14,0.1,0.07,0.72,0.51,0.13,1.61,62.14,14.02,2388.85,bowl,ASC258.json
ASC259,Sprouted moong salad ,asc_manual,37.81,5.48,2.29,0.74,2.13,0.95,354.69,160.55,165.36,1.62,54.56,55.09,22.92,116.38,254.18,1.45,0.06,1.73,0.01,0.18,0.02,0.39,4.12,0.05,1.82,0.0,25.53,0.0,24.42,0.06,0.08,0.42,0.24,0.09,1.25,24.42,13.67,2753.77,bowl,ASC259.json
ASC260,Tossed salad,asc_manual,62.96,4.95,1.02,4.22,1.56,2.15,630.66,2940.8,449.89,0.0,32.37,29.21,17.76,77.5,232.98,0.86,0.06,0.96,0.01,0.16,0.01,0.23,0.0,0.25,1.07,0.0,29.23,0.0,29.23,0.04,0.03,0.31,0.15,0.09,2.1,29.23,25.13,2432.12,bowl,ASC260.json
ASC261,Mixed vegetable salad with curd sauce,asc_manual,60.28,7.03,4.23,1.5,2.16,3.79,880.42,364.96,160.55,4.09,65.51,67.79,32.94,116.66,267.24,1.35,0.13,1.91,0.01,0.31,0.03,0.67,17.41,0.15,5.01,0.0,36.95,0.0,40.08,0.13,0.09,0.66,0.42,0.18,3.32,40.08,17.52,3408.86,bowl,ASC261.json
