food_code,food_name,primarysource,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,source_file
ASC477,Rice flakes and roasted channa ,asc_manual,333.4,71.94,10.57,2.94,1.31,8.84,198.8,297.5,403.9,0.0,17.23,136.5,54.54,205.51,349.9,4.51,0.18,0.0,0.04,0.62,0.05,1.04,0.0,0.04,0.0,0.0,0.7,0.0,5.92,0.08,0.03,1.12,0.34,0.01,0.27,5.92,0.0,23.53,,ASC477.json
ASC479,Spinach soup in milk ,asc_manual,56.72,3.98,2.89,3.2,3.34,0.79,1865.67,823.61,190.33,0.0,106.1,75.24,34.51,31.16,285.0,1.08,0.08,1.33,0.01,0.38,0.01,0.37,0.0,0.58,0.09,0.0,108.33,0.0,52.02,0.07,0.11,0.16,0.3,0.08,2.7,52.02,11.43,3317.67,,ASC479.json
ASC480,Vegetable soup,asc_manual,55.21,7.6,2.22,1.55,1.61,3.01,865.25,352.43,179.54,3.34,18.1,34.35,20.85,170.68,274.69,0.63,0.09,0.51,0.0,0.2,0.03,0.36,15.03,0.21,7.47,0.0,22.26,0.0,24.54,0.09,0.02,0.7,0.34,0.11,1.78,24.54,23.2,4425.81,,ASC480.json
ASC481,Mashed banana with milk,asc_manual,95.43,14.62,2.51,2.99,11.35,0.71,1781.94,787.86,131.61,0.0,78.64,69.05,15.15,16.99,191.13,0.23,0.06,0.61,0.01,0.12,0.0,0.26,0.0,0.17,0.06,0.0,0.71,0.0,10.32,0.02,0.08,0.21,0.33,0.19,1.77,10.32,3.9,212.9,,ASC481.json
ASC484,Poha with curd (Poha aur dahi),asc_manual,173.32,26.72,6.01,4.65,5.46,1.09,2824.34,1233.48,317.4,13.37,140.9,172.39,36.72,325.07,249.94,1.61,0.08,1.41,0.01,0.3,0.13,0.91,45.42,0.12,0.13,0.0,0.56,0.0,14.74,0.07,0.2,0.59,0.48,0.07,1.9,14.74,0.68,43.17,,ASC484.json
ASC485,Potato with curd,asc_manual,73.18,12.01,3.19,1.33,3.3,1.02,786.99,323.0,116.93,4.38,85.41,93.68,22.26,190.9,435.22,0.38,0.05,1.25,0.0,0.08,0.0,0.45,11.16,0.06,0.11,0.0,1.27,0.0,16.44,0.06,0.11,0.7,0.43,0.1,1.84,16.44,14.23,132.67,,ASC485.json
ASC486,Sweet wheat porridge (Sweet dalia),asc_manual,140.66,23.77,5.11,2.79,12.23,2.37,1547.14,690.21,148.18,0.0,99.18,84.58,36.02,24.63,265.94,1.98,0.11,3.63,0.01,0.34,0.05,0.51,0.0,0.35,0.17,0.0,54.38,0.0,31.95,0.07,0.09,0.2,0.32,0.14,1.92,31.95,6.16,1750.44,,ASC486.json
ASC487,Vegetable khichdi/khichri,asc_manual,143.17,19.57,5.61,4.53,3.71,2.45,2717.25,1090.32,316.13,11.92,100.54,128.91,41.88,193.55,384.87,1.09,0.16,5.04,0.01,0.44,0.17,0.74,45.68,0.39,0.45,0.0,64.46,0.0,45.51,0.11,0.14,0.68,0.49,0.13,2.1,45.51,7.1,3575.41,,ASC487.json
ASC489,Moong dal mixture,asc_manual,158.84,33.93,4.62,1.0,24.68,1.9,494.12,188.22,180.57,2.38,70.53,98.65,45.55,29.6,453.86,1.25,0.19,6.47,0.01,0.38,0.2,0.6,6.05,0.33,0.33,0.0,71.67,0.0,48.24,0.1,0.1,0.54,0.42,0.1,1.87,48.24,13.07,2184.27,,ASC489.json
ASC490,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),asc_manual,167.45,22.35,7.56,5.52,3.79,3.74,3270.91,1323.45,270.45,14.62,123.04,113.4,35.47,224.95,340.86,2.17,0.13,5.86,0.01,0.36,0.08,0.75,56.02,0.41,0.18,0.0,74.2,0.0,44.8,0.09,0.16,0.33,0.4,0.1,2.24,44.8,7.3,2271.81,,ASC490.json
ASC492,Stewed apple,asc_manual,91.93,22.49,0.17,0.37,20.45,1.48,88.0,29.22,161.14,0.0,9.25,6.11,4.91,1.53,67.0,0.18,0.04,0.27,0.0,0.03,0.48,0.07,0.0,0.09,0.83,0.0,2.09,0.0,1.74,0.02,0.01,0.14,0.05,0.02,0.19,1.74,2.04,130.86,,ASC492.json
ASC493,Lemon squash (Nimbu ka squash),asc_manual,184.56,48.88,0.15,0.06,48.88,0.0,30.76,0.0,30.76,0.0,9.85,3.54,2.79,15.01,30.02,0.18,0.06,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.01,0.0,0.03,0.04,0.02,0.0,2.15,10.46,1.23,,ASC493.json
ASC494,Orange squash (Santre ka squash),asc_manual,193.26,50.88,0.22,0.04,50.56,0.4,11.41,5.92,14.65,0.0,10.62,4.43,4.35,14.85,52.78,0.34,0.06,0.06,0.0,0.01,0.0,0.06,0.0,0.01,0.1,0.0,0.77,0.0,5.99,0.02,0.01,0.09,0.06,0.01,0.89,5.99,13.14,207.63,,ASC494.json
ASC495,Lichi squash,asc_manual,198.33,51.96,0.3,0.08,51.31,0.41,28.14,14.04,24.27,0.0,6.39,7.63,5.43,14.56,51.86,0.34,0.09,0.14,0.0,0.01,0.0,0.12,0.0,0.02,0.1,0.0,2.4,0.0,4.83,0.01,0.02,0.07,0.06,0.02,0.86,4.83,10.4,39.68,,ASC495.json
ASC496,Mango squash (Aam ka squash),asc_manual,194.66,50.96,0.17,0.17,50.84,0.58,52.29,41.22,40.6,0.0,9.47,3.87,5.05,14.81,46.63,0.25,0.09,0.59,0.01,0.07,0.0,0.08,0.0,0.09,1.14,0.0,1.47,0.0,25.24,0.01,0.01,0.08,0.04,0.04,0.49,25.24,10.14,438.02,,ASC496.json
ASC497,Pineapple squash (Ananas ka squash),asc_manual,195.02,51.34,0.16,0.05,51.08,1.06,15.72,9.58,14.69,0.0,7.96,4.63,4.85,14.84,46.32,0.18,0.08,0.02,0.0,0.39,0.0,0.08,0.0,0.14,0.06,0.0,0.74,0.0,5.6,0.02,0.01,0.04,0.04,0.04,0.32,5.6,11.19,26.55,,ASC497.json
ASC498,Lemon and ginger squash (Nimbu aur adrak ka squash),asc_manual,170.34,44.06,0.54,0.21,42.53,1.07,66.18,13.59,96.17,0.0,11.18,11.27,12.95,16.19,101.4,0.52,0.07,0.2,0.0,0.77,0.0,0.14,0.0,0.06,0.82,0.0,5.11,0.0,3.56,0.01,0.01,0.1,0.07,0.05,0.21,3.56,7.88,66.58,,ASC498.json
ASC499,Apple jam (Seb ka murabba),asc_manual,188.79,48.56,0.14,0.32,46.76,1.29,77.0,25.57,141.0,0.0,10.84,5.62,4.84,2.71,60.0,0.21,0.07,0.23,0.0,0.03,0.03,0.09,0.0,0.08,0.73,0.0,1.83,0.0,1.52,0.01,0.0,0.13,0.05,0.02,0.17,1.52,1.78,114.5,,ASC499.json
ASC500,Plum jam (Aloo bukhara jam),asc_manual,178.89,46.2,0.31,0.19,45.25,1.0,9.64,81.73,28.4,0.0,7.5,7.03,4.51,2.67,79.81,0.2,0.24,0.27,0.0,0.03,0.0,0.09,0.0,0.24,1.6,0.0,4.09,0.0,6.87,0.01,0.01,0.21,0.08,0.02,0.14,6.87,1.09,206.73,,ASC500.json
ASC501,Pineapple jam ,asc_manual,149.18,38.27,0.32,0.15,37.44,2.2,43.45,22.46,53.64,0.0,10.47,8.96,8.54,2.45,93.4,0.24,0.08,0.09,0.01,0.73,0.03,0.1,0.0,0.27,0.26,0.0,1.7,0.0,10.59,0.03,0.02,0.09,0.08,0.08,0.63,10.59,20.92,70.46,,ASC501.json
ASC502,Guava jelly (Amrood ki jelly),asc_manual,115.74,28.18,1.11,0.25,27.38,6.61,37.92,27.48,135.38,0.0,16.55,18.34,12.2,3.36,218.85,0.29,0.15,1.42,0.0,0.17,0.0,0.2,0.0,0.07,1.29,0.0,2.83,0.0,22.89,0.04,0.03,0.46,0.19,0.08,0.57,22.89,164.62,766.15,,ASC502.json
ASC503,Orange marmalade (Santray ka murabba),asc_manual,104.17,25.94,0.66,0.13,25.09,1.97,31.62,17.69,54.81,0.0,17.59,11.99,9.87,2.31,148.92,0.63,0.06,0.36,0.01,0.04,0.0,0.08,0.0,0.04,0.44,0.0,2.18,0.0,17.08,0.05,0.02,0.27,0.17,0.04,2.06,17.08,56.25,587.74,,ASC503.json
ASC504,Carrot murabba (Gajar ka murabba),asc_manual,175.24,45.6,0.32,0.16,44.83,1.39,29.24,7.0,88.67,0.0,15.86,14.77,6.41,19.53,93.08,0.28,0.08,0.07,0.0,0.08,0.0,0.13,0.0,0.07,0.45,0.0,6.12,0.0,8.01,0.01,0.01,0.07,0.1,0.04,0.5,8.01,2.07,3125.67,,ASC504.json
ASC505,Gooseberry marmalade (Amla murabba),asc_manual,123.16,32.34,0.14,0.03,28.61,0.0,0.0,0.0,0.0,0.0,16.4,5.73,0.96,216.89,64.52,0.38,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.45,,ASC505.json
ASC506,Ginger candy (Adrak ki candy),asc_manual,195.71,50.38,0.69,0.27,47.99,1.67,72.19,21.24,119.06,0.0,10.43,14.32,17.99,5.4,129.45,0.68,0.09,0.0,0.0,1.2,0.0,0.17,0.0,0.1,1.28,0.0,7.98,0.0,3.38,0.01,0.01,0.13,0.08,0.06,0.33,3.38,1.7,102.81,,ASC506.json
ASC507,Mango pickle (Aam ka achaar),asc_manual,192.12,8.11,1.6,17.89,1.79,3.68,2065.83,10283.05,3861.34,0.0,48.97,34.15,32.75,3429.94,206.92,1.44,0.12,0.22,0.01,0.39,0.01,0.3,0.0,0.64,5.4,0.0,11.88,0.0,19.04,0.03,0.04,0.6,0.11,0.14,0.99,19.04,61.2,707.69,,ASC507.json
ASC509,Mixed vegetable pickle (Sabziyoon ka achaar),asc_manual,211.2,7.48,1.9,19.68,2.77,2.76,2272.07,11262.04,4262.45,0.0,42.81,47.44,33.01,2488.32,283.15,2.12,0.14,1.75,0.01,0.59,0.0,0.36,0.0,0.27,2.68,0.0,14.04,0.0,15.91,0.05,0.05,0.51,0.14,0.14,1.4,15.91,30.37,464.24,,ASC509.json
ASC511,Sweet lemon pickle (Neembu ka meetha achaar),asc_manual,69.54,16.87,1.22,0.21,14.63,2.13,100.44,12.65,95.94,0.0,42.57,10.68,21.98,6415.9,148.65,1.02,0.08,0.98,0.0,0.24,0.0,0.13,0.0,0.03,0.71,0.0,4.6,0.0,5.18,0.02,0.01,0.09,0.09,0.04,0.09,5.18,22.19,60.89,,ASC511.json
ASC512,Plum chutney (Aloo bukhara ki chutney),asc_manual,177.11,44.95,0.47,0.29,43.9,1.37,27.3,102.28,74.91,0.0,12.38,10.42,7.31,216.81,101.56,0.34,0.26,0.44,0.0,0.19,0.01,0.13,0.0,0.25,1.78,0.0,5.16,0.0,7.26,0.01,0.01,0.28,0.08,0.04,0.16,7.26,1.12,303.3,,ASC512.json
ASC513,Raw mango chutney (Kachhe aam/Kairi ki chutney),asc_manual,193.13,49.94,0.51,0.16,45.22,2.17,37.58,28.02,71.97,0.0,25.92,11.26,14.1,480.68,105.51,0.48,0.11,0.06,0.01,0.38,0.0,0.14,0.0,0.51,4.51,0.0,9.38,0.0,14.68,0.01,0.02,0.22,0.08,0.09,0.81,14.68,50.23,394.82,,ASC513.json
ASC514,Tomato sauce,asc_manual,34.33,7.23,0.81,0.27,5.69,1.79,54.89,34.98,128.13,0.0,13.0,16.48,13.26,174.79,168.41,0.31,0.05,0.03,0.0,0.26,0.0,0.13,0.0,0.21,10.83,0.0,22.61,0.0,15.27,0.04,0.02,0.49,0.18,0.08,1.1,15.27,23.16,5288.51,,ASC514.json
ASC515,Tomato puree,asc_manual,20.62,3.68,0.75,0.25,2.32,1.56,47.13,30.17,117.71,0.0,8.91,15.29,12.19,244.99,165.74,0.22,0.04,0.0,0.0,0.09,0.0,0.11,0.0,0.22,11.7,0.0,23.86,0.0,15.24,0.04,0.02,0.5,0.18,0.08,1.08,15.24,25.0,5762.61,,ASC515.json
BFP001,Garam masala,bfp_manual,254.21,26.2,9.89,10.97,1.79,35.56,900.8,5676.88,2164.46,0.0,609.77,228.03,318.39,58.33,1501.8,14.51,1.23,6.6,0.07,14.33,0.06,3.37,0.0,1.12,19.02,0.0,85.31,0.0,20.68,0.23,0.17,1.31,0.28,0.17,2.42,20.68,9.0,1088.7,,BFP001.json
BFP002,Chat masala,bfp_manual,222.58,23.87,8.19,9.91,0.79,18.62,342.8,4428.5,1949.9,0.0,519.5,221.15,247.9,11873.64,1051.15,13.27,0.77,2.24,0.05,2.57,0.03,2.49,0.0,0.7,4.97,0.0,61.97,0.0,13.32,0.26,0.11,1.52,0.12,0.16,0.63,13.32,6.5,354.8,,BFP002.json
BFP003,Kashmiri masala,bfp_manual,389.02,23.16,8.26,31.03,2.41,12.12,3480.8,17010.94,6389.69,0.0,303.49,199.18,183.44,3106.14,1020.75,14.72,0.59,5.15,0.03,6.14,0.02,2.1,0.0,0.51,6.26,0.0,38.34,0.0,16.74,0.2,0.17,2.47,0.43,0.16,0.5,16.74,2.02,8177.55,,BFP003.json
BFP004,Rasam powder (Rasam masala),bfp_manual,267.96,25.19,12.04,11.8,1.91,35.71,779.68,6561.75,2070.65,0.0,562.15,269.78,288.95,38.78,1524.9,14.72,1.4,8.91,0.06,3.68,0.21,3.09,0.0,1.02,8.95,0.0,88.15,0.0,33.09,0.25,0.2,1.67,0.39,0.16,1.72,33.09,11.65,6329.34,,BFP004.json
BFP005,Sambar powder (Sambar masala),bfp_manual,297.46,23.38,12.5,15.58,1.87,34.56,5026.36,5878.33,2180.91,0.0,439.95,262.73,247.04,27.66,1350.05,12.63,1.24,14.99,0.04,3.01,0.2,3.0,0.0,0.85,7.41,0.0,70.77,0.0,48.87,0.23,0.24,1.74,0.49,0.17,1.56,48.87,10.29,11008.44,,BFP005.json
BFP007,Kashmiri tea (Kehwa),bfp_manual,24.9,5.23,0.17,0.51,5.14,0.16,38.56,330.29,114.39,0.0,3.19,4.13,3.47,0.29,8.81,0.07,0.02,0.05,0.0,0.1,0.01,0.04,0.0,0.22,0.1,0.0,0.09,0.0,0.32,0.0,0.0,0.03,0.01,0.0,0.03,0.32,0.02,0.81,tea cup,BFP007.json
BFP008,Steeped hot coffee,bfp_manual,15.91,3.01,0.39,0.33,2.96,0.0,201.01,90.15,10.25,0.0,10.4,10.26,3.93,2.82,46.09,0.06,0.01,0.16,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.0,0.04,0.0,0.63,0.0,0.01,0.25,0.03,0.0,0.81,0.63,0.15,14.85,tea cup,BFP008.json
